date,upbit_price,upbit_open,upbit_high,upbit_low,binance_price,binance_open,binance_high,binance_low,bitget_price,bitget_open,bitget_high,bitget_low,krw_usd
2025-05-07,137660000.0,137351000.0,138282000.0,136050000.0,97030.5,96834.02,97732.0,95784.61,100754.64,96922.65,101493.43,95804.0,1426.6
2025-05-08,144780000.0,137680000.0,145000000.0,137402000.0,103261.6,97030.5,104145.76,96876.29,102889.74,100754.64,104350.0,100591.8,1394.1
2025-05-09,143720000.0,144688000.0,146200000.0,143500000.0,102971.99,103261.61,104361.3,102315.14,103125.58,102889.74,104080.0,102319.99,1396.0
2025-05-10,144964000.0,143726000.0,145315000.0,143500000.0,104809.53,102971.99,104984.57,102818.76,104135.76,103125.58,104988.06,103003.5,1400.8
2025-05-11,145510000.0,144982000.0,146495000.0,144037000.0,104118.0,104809.53,104972.0,103345.06,102534.04,104135.76,105800.0,102405.01,1403.1999999999998
2025-05-12,144875000.0,145510000.0,147300000.0,142532000.0,102791.32,104118.0,105819.45,100718.37,103679.43,102534.04,103944.8,100748.6,1405.6
2025-05-13,145880000.0,144875000.0,146644000.0,143500000.0,104103.72,102791.32,104976.25,101429.7,103506.41,103679.43,104937.6,102867.0,1400.4
2025-05-14,145718000.0,145965000.0,146430000.0,144249000.0,103507.82,104103.72,104356.95,102602.05,103230.0,103506.41,103833.97,101394.16,1413.7
2025-05-15,146026000.0,145793000.0,146639000.0,143634000.0,103763.71,103507.83,104192.7,101383.07,104168.0,103230.0,104433.18,102556.17,1415.8
2025-05-16,146465000.0,146030000.0,147117000.0,145570000.0,103463.9,103763.71,104550.33,103100.49,102965.92,104168.0,104524.19,102610.0,1399.6
2025-05-17,146555000.0,146465000.0,146828000.0,145770000.0,103126.65,103463.9,103709.86,102612.5,105497.02,102965.92,105660.0,102782.68,1396.9499999999998
2025-05-18,150458000.0,146580000.0,150600000.0,146555000.0,106454.26,103126.65,106660.0,103105.09,104772.12,105497.02,107120.78,102102.75,1395.625
2025-05-19,148699000.0,150296000.0,151199000.0,145500000.0,105573.74,106454.27,107108.62,102000.0,105326.73,104772.12,106840.47,104174.3,1394.3
2025-05-20,150424000.0,148700000.0,150990000.0,147743000.0,106849.99,105573.73,107320.0,104184.72,108974.0,105326.73,109445.79,105083.0,1398.0
2025-05-21,152356000.0,150424000.0,153301000.0,148810000.0,109643.99,106850.0,110797.38,106100.01,111265.41,108974.0,111850.74,106151.83,1392.6
2025-05-22,154861000.0,152356000.0,155323000.0,152070000.0,111696.21,109643.99,111980.0,109177.37,108937.04,111265.41,111958.32,107341.11,1387.1
2025-05-23,149878000.0,154861000.0,155169000.0,149258000.0,107318.3,111696.22,111800.0,106800.0,108935.62,108937.04,109803.89,106800.0,1378.4
2025-05-24,150660000.0,149962000.0,152700000.0,149422000.0,107761.91,107318.3,109506.03,106875.41,106990.01,108935.62,109200.0,106595.41,1377.65
2025-05-25,152133000.0,150680000.0,152946000.0,149916000.0,109004.19,107761.9,109299.99,106600.64,109973.04,106990.01,110399.54,106662.0,1377.275
2025-05-26,152195000.0,152133000.0,153000000.0,151509000.0,109434.79,109004.2,110422.22,108670.58,110129.01,109973.04,110714.28,107529.48,1376.9
2025-05-27,151323000.0,152197000.0,153218000.0,150001000.0,108938.17,109434.78,110718.0,107516.57,107129.2,110129.01,110469.92,107071.34,1365.0
2025-05-28,150280000.0,151323000.0,151608000.0,149520000.0,107781.78,108938.17,109284.7,106769.43,107038.38,107129.2,108868.02,106472.81,1368.3
2025-05-29,147370000.0,150280000.0,151291000.0,147160000.0,105589.75,107781.78,108891.91,105322.86,105529.35,107038.38,107179.61,104605.26,1374.6
2025-05-30,147044000.0,147370000.0,149000000.0,146300000.0,103985.48,105589.75,106313.12,103621.0,104536.94,105529.35,105545.52,103087.0,1381.4
2025-05-31,147932000.0,147044000.0,148700000.0,146042000.0,104591.88,103985.47,104900.0,103068.55,104698.36,104536.94,104902.24,103769.79,1378.5500000000002
2025-06-01,149100000.0,147932000.0,149502000.0,147000000.0,105642.93,104591.88,105866.91,103752.49,104390.01,104698.36,105928.92,103667.28,1377.125
2025-06-02,148074000.0,149102000.0,149166000.0,146209000.0,105857.99,105642.93,105935.63,103659.88,106575.37,104390.01,106726.56,104001.4,1375.7
2025-06-03,147322000.0,148070000.0,148900000.0,147022000.0,105376.89,105858.0,106794.67,104872.5,105306.45,106575.37,106638.41,104218.47,1376.3000000000002
2025-06-04,145210000.0,147378000.0,147601000.0,145200000.0,104696.86,105376.9,106000.0,104179.0,104535.01,105306.45,105872.37,103900.86,1376.9
2025-06-05,141588000.0,145218000.0,146487000.0,140399000.0,101508.68,104696.86,105909.71,100372.26,105076.89,104535.01,105295.01,100408.16,1373.8
2025-06-06,145196000.0,141588000.0,146120000.0,140862000.0,104288.44,101508.69,105333.0,101095.8,105534.88,105076.89,105758.39,103913.04,1366.4
2025-06-07,146514000.0,145196000.0,146895000.0,144601000.0,105552.15,104288.43,105900.0,103871.09,105955.35,105534.88,106126.49,104973.01,1362.7
2025-06-08,145799000.0,146540000.0,146796000.0,145196000.0,105734.0,105552.15,106488.14,104964.14,107633.51,105955.35,107972.37,105335.0,1360.85
2025-06-09,150330000.0,145801000.0,150600000.0,144900000.0,110263.02,105734.01,110530.17,105318.37,108997.29,107633.51,110500.0,107623.24,1359.0
2025-06-10,150604000.0,150330000.0,150992000.0,149060000.0,110274.39,110263.02,110400.0,108331.03,109737.85,108997.29,110369.83,108534.56,1358.9
2025-06-11,149702000.0,150628000.0,151400000.0,148999000.0,108645.12,110274.39,110392.01,108064.0,107048.0,109737.85,109827.57,106626.67,1359.9
2025-06-12,145801000.0,149710000.0,149840000.0,145801000.0,105671.73,108645.13,108813.55,105671.72,105414.66,107048.0,108407.02,102680.7,1368.8
2025-06-13,147266000.0,145811000.0,147340000.0,143000000.0,106066.59,105671.74,106179.53,102664.31,104836.92,105414.66,106202.92,104652.7,1362.9
2025-06-14,146401000.0,147265000.0,147526000.0,145082000.0,105414.64,106066.59,106252.0,104300.0,105551.18,104836.92,106107.42,104345.08,1364.85
2025-06-15,145997000.0,146401000.0,147100000.0,145220000.0,105594.01,105414.63,106128.57,104494.53,107426.0,105551.18,107746.03,104501.22,1365.8249999999998
2025-06-16,146673000.0,145998000.0,149303000.0,145250000.0,106794.53,105594.02,108952.38,104980.37,104259.67,107426.0,108957.2,104145.25,1366.8
2025-06-17,145456000.0,146661000.0,147957000.0,143900000.0,104551.17,106794.53,107771.34,103371.02,104800.17,104259.67,105520.0,103399.96,1363.6
2025-06-18,145380000.0,145456000.0,146128000.0,144150000.0,104886.78,104551.17,105550.27,103500.0,104105.0,104800.17,105226.06,103518.3,1361.7
2025-06-19,144978000.0,145381000.0,146000000.0,144500000.0,104658.59,104886.79,105226.17,103929.27,104222.0,104105.0,106492.46,103900.0,1373.2
2025-06-20,143956000.0,144979000.0,146930000.0,143107000.0,103297.99,104658.59,106524.65,102345.0,103550.39,104222.0,104265.33,102340.01,1379.6
2025-06-21,142782000.0,143956000.0,144427000.0,141151000.0,102120.01,103297.98,103982.64,100837.9,98923.0,103550.39,103613.01,98903.6,1374.5
2025-06-22,140908000.0,142811000.0,144900000.0,137127000.0,100963.87,102120.02,103399.62,98200.0,101438.01,98923.0,102594.25,98200.0,1371.95
2025-06-23,146182000.0,140908000.0,147101000.0,139698000.0,105333.93,100963.87,106074.2,99613.33,105229.0,101438.01,106057.36,99654.46,1369.4
2025-06-24,145625000.0,146180000.0,146387000.0,144222000.0,106083.0,105333.94,106290.0,104622.02,107017.98,105229.0,108110.62,105189.0,1381.9
2025-06-25,147365000.0,145626000.0,148620000.0,145360000.0,107340.58,106083.0,108135.3,105808.03,107300.0,107017.98,108228.96,106567.74,1365.0
2025-06-26,146852000.0,147365000.0,148205000.0,146500000.0,106947.06,107340.59,108272.45,106562.5,107302.88,107300.0,107983.87,106360.81,1360.9
2025-06-27,147058000.0,146868000.0,147628000.0,146000000.0,107047.59,106947.06,107735.34,106356.76,107442.05,107302.88,107681.14,106443.54,1357.6
2025-06-28,147174000.0,147001000.0,147479000.0,146799000.0,107296.79,107047.58,107577.75,106811.51,107738.29,107442.05,108480.0,107136.0,1357.0
2025-06-29,147996000.0,147174000.0,148502000.0,147091000.0,108356.93,107296.79,108528.5,107172.52,107593.98,107738.29,108764.94,106777.0,1356.7
2025-06-30,145759000.0,147996000.0,148480000.0,145740000.0,107146.5,108356.93,108789.99,106733.33,105960.24,107593.98,107817.99,105651.18,1356.4
2025-07-01,145019000.0,145759000.0,146678000.0,144710000.0,105681.14,107146.51,107540.0,105250.85,108737.75,105960.24,108739.85,105121.0,1353.6
2025-07-02,147372000.0,145019000.0,148930000.0,144265000.0,108849.6,105681.13,109730.0,105100.19,109128.01,108737.75,110509.62,108550.43,1352.6
2025-07-03,148737000.0,147372000.0,149755000.0,147364000.0,109584.78,108849.59,110529.18,108530.4,107603.01,109128.01,109993.0,107512.0,1359.4
2025-07-04,147797000.0,148737000.0,149360000.0,146929000.0,107984.24,109584.77,109767.59,107245.0,108052.04,107603.01,108418.61,107253.11,1358.1
2025-07-05,148197000.0,147798000.0,148400000.0,147655000.0,108198.12,107984.25,108420.56,107756.31,108898.89,108052.04,109100.0,107814.0,1361.15
2025-07-06,148500000.0,148197000.0,149100000.0,147411000.0,109203.84,108198.12,109700.0,107800.01,108312.29,108898.89,109693.16,107965.0,1362.6750000000002
2025-07-07,148100000.0,148500000.0,149100000.0,147196000.0,108262.94,109203.85,109700.0,107513.2,108271.88,108312.29,109203.12,107465.06,1364.2
2025-07-08,148302000.0,148100000.0,148890000.0,147100000.0,108922.98,108262.94,109216.56,107429.57,109061.69,108271.88,109733.48,108102.0,1366.6
2025-07-09,150701000.0,148302000.0,151479000.0,148000000.0,111233.99,108922.99,111999.79,108324.53,111398.52,109061.69,111975.0,109026.18,1368.0
2025-07-10,156519000.0,150750000.0,156960000.0,150200000.0,116010.0,111234.0,116868.0,110500.0,116876.47,111398.52,118823.53,111330.1,1373.8
2025-07-11,158187000.0,156517000.0,160744000.0,155000000.0,117527.66,116010.01,118869.98,115222.22,117105.02,116876.47,118182.5,116613.0,1373.0
2025-07-12,159681000.0,158187000.0,159952000.0,157200000.0,117420.0,117527.66,118200.0,116900.05,118667.0,117105.02,119345.24,117000.0,1373.85
2025-07-13,161740000.0,159683000.0,161754000.0,159450000.0,119086.64,117420.0,119488.0,117224.79,119871.97,118667.0,123214.52,118232.47,1374.275
2025-07-14,163923000.0,161740000.0,166800000.0,161357000.0,119841.18,119086.65,123218.0,118905.18,116391.01,119871.97,120526.35,115776.28,1374.7
2025-07-15,160811000.0,163923000.0,164010000.0,158658000.0,117758.09,119841.17,119940.83,115736.92,119104.48,116391.01,119786.67,116000.0,1378.5
2025-07-16,161250000.0,160811000.0,163210000.0,160175000.0,118630.43,117758.08,120063.84,117017.29,118859.46,119104.48,120071.42,117450.01,1382.7
2025-07-17,162232000.0,161246000.0,163955000.0,160002000.0,119177.56,118630.44,120998.71,117453.57,117872.69,118859.46,120933.22,117297.58,1387.1
2025-07-18,161100000.0,162232000.0,164446000.0,159301000.0,117924.84,119177.56,120820.71,116812.76,118059.0,117872.69,118481.5,116833.0,1390.8
2025-07-19,161428000.0,161098000.0,162470000.0,160788000.0,117840.0,117924.84,118499.9,117277.34,118683.01,118059.0,118802.92,117289.0,1391.35
2025-07-20,160072000.0,161428000.0,162000000.0,159726000.0,117265.12,117840.01,118856.8,116467.02,118328.36,118683.01,119663.9,116478.79,1391.625
2025-07-21,160096000.0,160072000.0,162300000.0,159350000.0,117380.36,117265.11,119676.73,116515.0,118918.27,118328.36,119584.58,116130.0,1391.9
2025-07-22,162321000.0,160094000.0,162990000.0,158750000.0,119954.42,117380.36,120247.8,116128.0,118568.19,118918.27,120224.83,117299.02,1391.1
2025-07-23,161990000.0,162321000.0,162848000.0,159192000.0,118755.99,119954.43,120090.0,117301.0,119080.25,118568.19,119465.51,117110.0,1386.3
2025-07-24,160928000.0,162000000.0,162888000.0,159000000.0,118340.99,118756.0,119450.0,117103.1,115707.12,119080.25,119399.99,114727.69,1379.1
2025-07-25,160217000.0,160938000.0,161239000.0,157746000.0,117614.31,118340.98,118451.57,114723.16,118103.78,115707.12,118199.95,115436.0,1368.7
2025-07-26,160900000.0,160225000.0,161220000.0,159600000.0,117919.99,117614.31,118297.35,117138.38,118594.23,118103.78,118596.05,117819.0,1372.35
2025-07-27,162717000.0,160900000.0,162800000.0,160858000.0,119415.55,117919.99,119766.65,117825.5,118174.74,118594.23,119794.92,117906.0,1374.175
2025-07-28,162483000.0,162548000.0,162985000.0,161391000.0,118062.32,119415.56,119800.0,117427.5,117395.0,118174.74,119280.0,117279.63,1376.0
2025-07-29,163158000.0,162483000.0,163800000.0,162034000.0,117950.76,118062.32,119273.36,116950.75,117997.29,117395.0,118782.52,117000.0,1379.6
2025-07-30,163118000.0,163248000.0,163708000.0,161800000.0,117840.3,117950.75,118792.0,115796.23,118306.62,117997.29,118911.19,115794.25,1391.4
2025-07-31,161398000.0,163118000.0,164300000.0,161138000.0,115764.08,117840.29,118922.45,115500.0,115371.14,118306.62,118884.33,113968.6,1382.9
2025-08-01,158102000.0,161400000.0,161770000.0,158100000.0,113297.93,115764.07,116052.0,112722.58,112860.58,115371.14,115710.0,112751.35,1390.4
2025-08-02,157376000.0,158101000.0,159362000.0,157115000.0,112546.35,113297.92,114063.49,112003.0,113961.84,112860.58,114260.0,111914.0,1394.85
2025-08-03,160227000.0,157376000.0,160324000.0,156715000.0,114208.8,112546.35,114799.97,111920.0,114824.0,113961.84,115476.06,113778.98,1397.0749999999998
2025-08-04,160332000.0,160208000.0,161400000.0,159500000.0,115055.03,114208.81,115720.0,114107.6,112948.79,114824.0,115729.51,112666.0,1399.3
2025-08-05,159999000.0,160333000.0,160571000.0,158206000.0,114129.75,115055.03,115127.81,112650.0,115411.25,112948.79,115526.77,112837.0,1384.9
2025-08-06,160000000.0,159999000.0,160955000.0,158605000.0,114992.27,114129.75,115716.0,113355.13,116695.0,115411.25,116815.94,114283.0,1386.7
2025-08-07,161853000.0,160000000.0,162000000.0,159524000.0,117472.01,114992.27,117621.0,114259.0,116218.2,116695.0,117655.18,115631.62,1389.5
2025-08-08,160099000.0,161853000.0,161994000.0,160008000.0,116674.74,117472.02,117630.0,115878.71,116903.72,116218.2,117944.44,116009.1,1384.2
2025-08-09,160180000.0,160099000.0,161547000.0,160007000.0,116462.25,116674.74,117944.05,116299.13,118810.29,116903.72,119109.51,116415.73,1385.1
2025-08-10,163859000.0,160180000.0,163877000.0,160132000.0,119294.01,116462.25,119311.11,116460.63,120309.6,118810.29,122323.42,118088.84,1385.55
2025-08-11,164210000.0,163860000.0,167000000.0,163350000.0,118686.0,119294.27,122335.16,118050.11,119928.36,120309.6,120807.4,118080.56,1386.0
2025-08-12,164298000.0,164210000.0,164990000.0,163000000.0,120134.08,118686.0,120324.43,118207.47,120934.22,119928.36,122214.9,118934.6,1388.3
2025-08-13,168051000.0,164298000.0,168262000.0,163353000.0,123306.43,120134.09,123667.79,118920.92,118312.7,120934.22,124496.45,117717.86,1390.2
2025-08-14,164723000.0,168051000.0,169900000.0,162550000.0,118295.09,123306.44,124474.0,117180.0,117315.0,118312.7,119230.77,116860.0,1383.8
