date,coin_symbol,net_inflow_usd,exchange_inflow_usd,active_addresses,transaction_count,avg_buy_price
2021-12-27,ETH,0.0,0.0,21,0,
2022-01-03,ETH,0.0,0.0,16,0,
2022-01-10,ETH,0.0,0.0,13,0,
2022-01-17,ETH,0.0,0.0,18,0,
2022-01-24,ETH,0.0,0.0,14,0,
2022-01-31,ETH,0.0,0.0,12,0,
2022-02-07,ETH,0.0,0.0,10,0,
2022-02-14,ETH,0.0,0.0,10,0,
2022-02-21,ETH,0.0,0.0,13,1,
2022-02-28,ETH,0.0,0.0,13,0,
2022-03-07,ETH,0.0,0.0,15,0,
2022-03-14,ETH,0.0,0.0,11,0,
2022-03-21,ETH,0.0,0.0,12,0,
2022-03-28,ETH,0.0,0.0,22,0,
2022-04-04,ETH,0.0,0.0,12,0,
2022-04-11,ETH,0.0,0.0,11,0,
2022-04-18,ETH,0.0,0.0,11,0,
2022-04-25,ETH,0.0,0.0,15,0,
2022-05-02,ETH,0.0,0.0,9,0,
2022-05-09,ETH,0.0,0.0,26,0,
2022-05-16,ETH,0.0,0.0,16,0,
2022-05-23,ETH,0.0,0.0,17,0,
2022-05-30,ETH,0.0,0.0,13,0,
2022-06-06,ETH,0.0,0.0,23,0,
2022-06-13,ETH,0.0,0.0,20,0,
2022-06-20,ETH,0.0,0.0,17,0,
2022-06-27,ETH,0.0,0.0,28,0,
2022-07-04,ETH,0.0,0.0,17,0,
2022-07-11,ETH,0.0,0.0,16,0,
2022-07-18,ETH,0.0,0.0,14,0,
2022-07-25,ETH,0.0,0.0,14,0,
2022-08-01,ETH,0.0,0.0,11,0,
2022-08-08,ETH,0.0,0.0,13,0,
2022-08-15,ETH,0.0,0.0,13,0,
2022-08-22,ETH,0.0,0.0,15,0,
2022-08-29,ETH,0.0,0.0,13,0,
2022-09-05,ETH,0.0,0.0,20,0,
2022-09-12,ETH,0.0,0.0,11,0,
2022-09-19,ETH,0.0,0.0,15,0,
2022-09-26,ETH,0.0,0.0,12,0,
2022-10-03,ETH,0.0,0.0,8,0,
2022-10-10,ETH,0.0,0.0,8,0,
2022-10-17,ETH,0.0,0.0,11,0,
2022-10-24,ETH,0.0,0.0,16,0,
2022-10-31,ETH,0.0,0.0,15,0,
2022-11-07,ETH,0.0,0.0,41,1,
2022-11-14,ETH,0.0,0.0,29,1,
2022-11-21,ETH,0.0,0.0,20,0,
2022-11-28,ETH,0.0,0.0,28,0,
2022-12-05,ETH,0.0,0.0,18,0,
2022-12-12,ETH,0.0,0.0,33,0,
2022-12-19,ETH,0.0,0.0,19,0,
2022-12-26,ETH,0.0,0.0,16,0,
2023-01-02,ETH,0.0,0.0,16,0,
2023-01-09,ETH,0.0,0.0,18,0,
2023-01-16,ETH,0.0,0.0,18,0,
2023-01-23,ETH,0.0,0.0,21,0,
2023-01-30,ETH,0.0,0.0,27,0,
2023-02-06,ETH,0.0,0.0,25,0,
2023-02-13,ETH,0.0,0.0,21,0,
2023-02-20,ETH,0.0,0.0,26,0,
2023-02-27,ETH,0.0,0.0,27,0,
2023-03-06,ETH,0.0,0.0,27,0,
2023-03-13,ETH,0.0,0.0,21,0,
2023-03-20,ETH,0.0,0.0,29,0,
2023-03-27,ETH,0.0,0.0,19,0,
2023-04-03,ETH,0.0,0.0,18,0,
2023-04-10,ETH,0.0,0.0,29,0,
2023-04-17,ETH,0.0,0.0,25,0,
2023-04-24,ETH,0.0,0.0,21,0,
2023-05-01,ETH,0.0,0.0,18,0,
2023-05-08,ETH,0.0,0.0,24,0,
2023-05-15,ETH,0.0,0.0,19,0,
2023-05-22,ETH,0.0,0.0,27,0,
2023-05-29,ETH,0.0,0.0,23,0,
2023-06-05,ETH,0.0,0.0,52,0,
2023-06-12,ETH,0.0,0.0,42,0,
2023-06-19,ETH,0.0,0.0,39,0,
2023-06-26,ETH,0.0,0.0,73,0,
2023-07-03,ETH,0.0,0.0,26,0,
2023-07-10,ETH,0.0,0.0,24,0,
2023-07-17,ETH,0.0,0.0,20,0,
2023-07-24,ETH,0.0,0.0,104,0,
2023-07-31,ETH,0.0,0.0,129,0,
2023-08-07,ETH,0.0,0.0,43,0,
2023-08-14,ETH,0.0,0.0,44,0,
2023-08-21,ETH,0.0,0.0,37,0,
2023-08-28,ETH,0.0,0.0,37,0,
2023-09-04,ETH,0.0,0.0,43,0,
2023-09-11,ETH,0.0,0.0,47,0,
2023-09-18,ETH,0.0,0.0,1454,0,
2023-09-25,ETH,0.0,0.0,38,0,
2023-10-02,ETH,0.0,0.0,24,0,
2023-10-09,ETH,0.0,0.0,31,0,
2023-10-16,ETH,0.0,0.0,36,0,
2023-10-23,ETH,0.0,0.0,36,0,
2023-10-30,ETH,0.0,0.0,50,0,
2023-11-06,ETH,0.0,0.0,65,0,
2023-11-13,ETH,0.0,0.0,49,0,
2023-11-20,ETH,0.0,0.0,63,0,
2023-11-27,ETH,0.0,0.0,57,0,
2023-12-04,ETH,0.0,0.0,47,0,
2023-12-11,ETH,0.0,0.0,40,0,
2023-12-18,ETH,0.0,0.0,46,0,
2023-12-25,ETH,0.0,0.0,53,0,
2024-01-01,ETH,0.0,0.0,55,0,
2024-01-08,ETH,0.0,0.0,47,0,
2024-01-15,ETH,0.0,0.0,40,0,
2024-01-22,ETH,0.0,0.0,49,0,
2024-01-29,ETH,0.0,0.0,42,0,
2024-02-05,ETH,0.0,0.0,40,0,
2024-02-12,ETH,0.0,0.0,45,0,
2024-02-19,ETH,0.0,0.0,52,0,
2024-02-26,ETH,0.0,0.0,72,0,
2024-03-04,ETH,0.0,0.0,78,0,
2024-03-11,ETH,0.0,0.0,62,0,
2024-03-18,ETH,0.0,0.0,60,0,
2024-03-25,ETH,0.0,0.0,88,0,
2024-04-01,ETH,0.0,0.0,56,0,
2024-04-08,ETH,0.0,0.0,70,0,
2024-04-15,ETH,0.0,0.0,53,0,
2024-04-22,ETH,0.0,0.0,44,0,
2024-04-29,ETH,0.0,0.0,48,0,
2024-05-06,ETH,0.0,0.0,51,0,
2024-05-13,ETH,0.0,0.0,44,0,
2024-05-20,ETH,0.0,0.0,56,0,
2024-05-27,ETH,0.0,0.0,50,0,
2024-06-03,ETH,0.0,0.0,59,0,
2024-06-10,ETH,0.0,0.0,46,0,
2024-06-17,ETH,0.0,0.0,61,0,
2024-06-24,ETH,0.0,0.0,77,0,
2024-07-01,ETH,0.0,0.0,77,0,
2024-07-08,ETH,0.0,0.0,76,0,
2024-07-15,ETH,0.0,0.0,69,0,
2024-07-22,ETH,0.0,0.0,68,0,
2024-07-29,ETH,0.0,0.0,85,0,
2024-08-05,ETH,0.0,0.0,97,0,
2024-08-12,ETH,0.0,0.0,69,0,
2024-08-19,ETH,0.0,0.0,84,0,
2024-08-26,ETH,0.0,0.0,81,0,
2024-09-02,ETH,0.0,0.0,87,0,
2024-09-09,ETH,0.0,0.0,73,0,
2024-09-16,ETH,0.0,0.0,72,0,
2024-09-23,ETH,0.0,0.0,84,1,
2024-09-30,ETH,0.0,0.0,91,0,
2024-10-07,ETH,0.0,0.0,77,0,
2024-10-14,ETH,0.0,0.0,89,0,
2024-10-21,ETH,0.0,0.0,108,0,
2024-10-28,ETH,0.0,0.0,103,0,
2024-11-04,ETH,0.0,0.0,109,0,
2024-11-11,ETH,0.0,0.0,100,1,
2024-11-18,ETH,0.0,0.0,106,0,
2024-11-25,ETH,0.0,0.0,127,0,
2024-12-02,ETH,0.0,0.0,136,0,
2024-12-09,ETH,0.0,0.0,115,0,
2024-12-16,ETH,0.0,0.0,116,0,
2024-12-23,ETH,0.0,0.0,89,0,
2024-12-30,BTC,0.0,0.0,1,0,
2024-12-30,ETH,0.0,0.0,90,0,
2025-01-06,ETH,0.0,0.0,95,0,
2025-01-06,BTC,0.0,0.0,8,0,
2025-01-13,BTC,0.0,0.0,5,0,
2025-01-13,ETH,0.0,0.0,90,0,
2025-01-20,BTC,0.0,0.0,2,0,
2025-01-20,ETH,0.0,0.0,105,0,
2025-01-27,BTC,0.0,0.0,23,0,
2025-01-27,ETH,0.0,0.0,106,0,
2025-02-03,BTC,0.0,0.0,2,0,
2025-02-03,ETH,0.0,0.0,111,0,
2025-02-10,BTC,0.0,0.0,3,0,
2025-02-10,ETH,0.0,0.0,99,0,
2025-02-17,BTC,0.0,0.0,1,0,
2025-02-17,ETH,0.0,0.0,116,0,
2025-02-24,BTC,0.0,0.0,4,0,
2025-02-24,ETH,0.0,0.0,108,0,
2025-03-03,ETH,0.0,0.0,160,0,
2025-03-03,BTC,0.0,0.0,2,0,
2025-03-10,BTC,0.0,0.0,9,0,
2025-03-10,ETH,0.0,0.0,125,0,
2025-03-17,BTC,0.0,0.0,3,0,
2025-03-17,ETH,0.0,0.0,87,0,
2025-03-24,BTC,0.0,0.0,8,0,
2025-03-24,ETH,0.0,0.0,155,0,
2025-03-31,BTC,0.0,0.0,1,0,
2025-03-31,ETH,0.0,0.0,149,0,
2025-04-07,BTC,0.0,0.0,17,0,
2025-04-07,ETH,0.0,0.0,157,0,
2025-04-14,BTC,0.0,0.0,1,0,
2025-04-14,ETH,0.0,0.0,113,0,
2025-04-21,ETH,0.0,0.0,119,0,
2025-04-21,BTC,0.0,0.0,2,0,
2025-04-28,ETH,0.0,0.0,143,0,
2025-04-28,BTC,0.0,0.0,2,0,
2025-05-05,BTC,0.0,0.0,1,0,
2025-05-05,ETH,0.0,0.0,285,0,
2025-05-12,BTC,0.0,0.0,2,0,
2025-05-12,ETH,0.0,0.0,155,0,
2025-05-19,BTC,0.0,0.0,2,0,
2025-05-19,ETH,0.0,0.0,159,0,
2025-05-26,BTC,0.0,0.0,1,0,
2025-05-26,ETH,0.0,0.0,162,0,
2025-06-02,BTC,0.0,0.0,2,0,
2025-06-02,ETH,0.0,0.0,164,0,
2025-06-09,BTC,0.0,0.0,2,0,
2025-06-09,ETH,0.0,0.0,130,0,
2025-06-16,BTC,0.0,0.0,3,0,
2025-06-16,ETH,0.0,0.0,172,0,
2025-06-23,ETH,0.0,0.0,125,0,
2025-06-23,BTC,0.0,0.0,2,0,
2025-06-30,BTC,0.0,0.0,18,0,
2025-06-30,ETH,0.0,0.0,146,0,
2025-07-07,BTC,0.0,0.0,14,0,
2025-07-07,ETH,0.0,0.0,120,0,
2025-07-14,BTC,0.0,0.0,17,0,
2025-07-14,ETH,0.0,0.0,137,0,
2025-07-21,BTC,0.0,0.0,19,0,
2025-07-21,ETH,0.0,0.0,232,0,
2025-07-28,BTC,0.0,0.0,3,0,
2025-07-28,ETH,0.0,0.0,270,0,
2025-08-04,BTC,0.0,0.0,4,0,
2025-08-04,ETH,0.0,0.0,311,0,
2025-08-11,ETH,-17766760.5049198,0.0,1206,1,
2025-08-11,BTC,0.0,0.0,2,0,
2025-08-18,ETH,0.0,0.0,413,0,
2025-08-18,BTC,0.0,0.0,3,0,
2025-08-25,BTC,0.0,0.0,3,0,
2025-08-25,ETH,0.0,0.0,362,0,
2025-09-01,BTC,0.0,0.0,4,0,
2025-09-01,ETH,0.0,0.0,313,0,
2025-09-08,BTC,0.0,0.0,3,0,
2025-09-08,ETH,0.0,0.0,380,0,
2025-09-15,BTC,0.0,0.0,3,0,
2025-09-15,ETH,0.0,0.0,538,0,
2025-09-22,BTC,0.0,0.0,14,0,
2025-09-22,ETH,0.0,0.0,885,0,
2025-09-29,BTC,0.0,0.0,6,0,
2025-09-29,ETH,0.0,0.0,1021,0,
2025-10-06,BTC,0.0,0.0,7,0,
2025-10-06,ETH,0.0,0.0,1042,0,
2025-10-13,ETH,-22757.7124772755,0.0,1277,0,
2025-10-13,BTC,0.0,0.0,17,0,
2025-10-20,BTC,0.0,0.0,32,0,
2025-10-20,ETH,0.0,0.0,1453,0,
2025-10-27,BTC,0.0,0.0,18,0,
2025-10-27,ETH,144762258.56710616,274336455.28999996,2972,355,
2025-11-03,BTC,0.0,0.0,2,0,
2025-11-03,ETH,0.0,0.0,3995,0,
2025-11-10,BTC,0.0,0.0,1,0,
2025-11-17,BTC,0.0,0.0,2,0,
2025-11-24,BTC,0.0,0.0,2,0,
2025-11-24,ETH,0.0,0.0,457,0,
2025-12-01,BTC,0.0,0.0,2,0,
2025-12-01,ETH,0.0,0.0,457,0,
2025-12-08,BTC,0.0,0.0,2,0,
2025-12-08,ETH,0.0,0.0,457,0,
